dept_cd	audit_user	audit_date	descs
035800	MGR	1/1/2014 00:00:00	BDI LAWANG RAYA THAMRIN                 
061200	MGR	1/1/2014 00:00:00	BDI LEMABANG MARTADINATA                
061000	MGR	1/1/2014 00:00:00	BDI LHOKSUMAWE PERDAGANGAN              
061600	MGR	1/1/2014 00:00:00	BDI LUBUK LINGGAU-GARUDA
033200	MGR	1/1/2014 00:00:00	BDI LUMAJANG SUDIRMAN                   
042200	MGR	1/1/2014 00:00:00	BDI LUWUK BANGGAI                       
033400	MGR	1/1/2014 00:00:00	BDI MADIUN COKROAMINOTO                 
072000	MGR	1/1/2014 00:00:00	BDI MAGELANG - PEMUDA
033600	MGR	1/1/2014 00:00:00	BDI MAGETAN A YANI                      
023500	MGR	1/1/2014 00:00:00	BDI MAJALENGKA - ABDUL HALIM
044400	MGR	1/1/2014 00:00:00	BDI MAKALE MERDEKA                      
045800	MGR	1/1/2014 00:00:00	BDI MAKASAR - VETERAN SELATAN
044300	MGR	1/1/2014 00:00:00	BDI MAKASAR PANAKUKANG                  
045000	MGR	1/1/2014 00:00:00	BDI MAKASAR PANAMPU                     
044100	MGR	1/1/2014 00:00:00	BDI MAKASAR SULAWESI                    
040400	MGR	1/1/2014 00:00:00	BDI MAKASSAR - A. YANI
040900	MGR	1/1/2014 00:00:00	BDI MAKASSAR - CENDRAWASIH
041000	MGR	1/1/2014 00:00:00	BDI MAKASSAR - LATIMOJONG
045500	MGR	1/1/2014 00:00:00	BDI MAKASSAR - PERINTIS KEMERDEKAAN
042500	MGR	1/1/2014 00:00:00	BDI MAKASSAR - SLAMET RIYADI
045200	MGR	1/1/2014 00:00:00	BDI MAKASSAR MALL                       
031200	MGR	1/1/2014 00:00:00	BDI MALANG KAWI                         
037600	MGR	1/1/2014 00:00:00	BDI MALANG LETJEND SUTOYO
037700	MGR	1/1/2014 00:00:00	BDI MALANG SUTAN SYAHRIR
045300	MGR	1/1/2014 00:00:00	BDI MAMUJU - EMMY SAELAN
042400	MGR	1/1/2014 00:00:00	BDI MANADO BAHU MALL                    
041400	MGR	1/1/2014 00:00:00	BDI MANADO RANOTANA                     
040500	MGR	1/1/2014 00:00:00	BDI MANADO SUTOMO                       
044000	MGR	1/1/2014 00:00:00	BDI MANADO TOAR                         
038500	MGR	1/1/2014 00:00:00	BDI MANGGARAI - ADI SUCIPTO
043600	MGR	1/1/2014 00:00:00	BDI MANOKWARI - YOS SUDARSO
044700	MGR	1/1/2014 00:00:00	BDI MAROS SUDIRMAN                      
045100	MGR	1/1/2014 00:00:00	BDI MASOHI-A.SOULISSA
030400	MGR	1/1/2014 00:00:00	BDI MATARAM PEJANGGIK                   
036600	MGR	1/1/2014 00:00:00	BDI MATARAM-SWETA
034500	MGR	1/1/2014 00:00:00	BDI MAUMERE - RAYA CENTIS
065100	MGR	1/1/2014 00:00:00	BDI MEDAN - A.YANI
065700	MGR	1/1/2014 00:00:00	BDI MEDAN - ASIA MEGA MAS
067100	MGR	1/1/2014 00:00:00	BDI MEDAN - CITRA GARDEN
063300	MGR	1/1/2014 00:00:00	BDI MEDAN - DIPONEGORO
061700	MGR	1/1/2014 00:00:00	BDI MEDAN - ISKANDAR MUDA
065600	MGR	1/1/2014 00:00:00	BDI MEDAN - ISKANDAR MUDA 2
066400	MGR	1/1/2014 00:00:00	BDI MEDAN - KATAMSO
060900	MGR	1/1/2014 00:00:00	BDI MEDAN - PEMUDA
062000	MGR	1/1/2014 00:00:00	BDI MEDAN - PUSAT PASAR
065300	MGR	1/1/2014 00:00:00	BDI MEDAN - PUTRI HIJAU
064200	MGR	1/1/2014 00:00:00	BDI MEDAN - RAHMADSYAH
065900	MGR	1/1/2014 00:00:00	BDI MEDAN - SETIABUDI
068300	MGR	1/1/2014 00:00:00	BDI MEDAN - SISINGAMANGARAJA
061900	MGR	1/1/2014 00:00:00	BDI MEDAN - THAMRIN
065800	MGR	1/1/2014 00:00:00	BDI MEDAN - TOMANG ELOK
066800	MGR	1/1/2014 00:00:00	BDI MEDAN ASIA
061400	MGR	1/1/2014 00:00:00	BDI MEDAN BINJAI                        
066500	MGR	1/1/2014 00:00:00	BDI MEDAN KRAKATAU
064500	MGR	1/1/2014 00:00:00	BDI MEDAN PANDU
063800	MGR	1/1/2014 00:00:00	BDI MEDAN PETISAH                    
062800	MGR	1/1/2014 00:00:00	BDI MEDAN TANJUNG PURA                  
066700	MGR	1/1/2014 00:00:00	BDI MEDAN YOS SUDARSO
053800	MGR	1/1/2014 00:00:00	BDI MELAWI - JUANG
042700	MGR	1/1/2014 00:00:00	BDI MERAUKE MANDALA                     
002400	MGR	1/1/2014 00:00:00	BDI METRO LAMPUNG SUDIRMAN              
068200	MGR	1/1/2014 00:00:00	BDI MEULABOH - NASIONAL
042100	MGR	1/1/2014 00:00:00	BDI MINAHASA TOMOHON                    
033100	MGR	1/1/2014 00:00:00	BDI MOJOKERTO MAJAPAHIT
060300	MGR	1/1/2014 00:00:00	BDI MUARA BUNGO - LINTAS SUMATERA
063500	MGR	1/1/2014 00:00:00	BDI MUARA ENIM-LIBERTY SIMANJUNTAK
